Removed Pin From Net: NetName=NetJ1_1 Pin=J2-1
Change Component Description : Designator=J1 Old Description= New Description=PWR ENT RCPT IEC320-C14 PNL SLDR
Change component parameters: Designator = "J1" ("J1"); Footprint = "PX0580/PC"; UniqueID = "\HSRTHVRN" ("\HSRTHVRN")
Change component parameters (AddParameter): Name = "Approvals"; Value = "UL,CSA,VDE,ENEC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Power Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/690/in-outlets-2010-690889.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/690/in-outlets-2010-690889.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/8067/308359-8067331.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/8067/308359-8067331.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/11728/0900766b8009b0c7-11728110.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/11728/0900766b8009b0c7-11728110.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/30218/in-outlets-2010-30218259.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/30218/in-outlets-2010-30218259.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/29396/741010-da-01-en-kaltgeraetestecker-px0580-pc-29396341.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/29396/741010-da-01-en-kaltgeraetestecker-px0580-pc-29396341.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
